cause_of_death,category_human
viral carditis,none
congenital subaortic stenosis,none
extremely low birth weight,none
other  chronic renal failure - from 2008 classification,none
congenital malformation of face and neck unspecified,none
osteoporosis unspecified,none
osteomyelitis unspecified,none
purulent endophthalmitis,none
occupant of streetcar injured in derailment without antecedent collision,none
other congenital malformations of trachea,none
invasive pulmonary aspergillosis,none
local infection of skin and subcutaneous tissue unspecified,none
malignant neoplasm craniopharyngeal duct,none
cerebral cryptococcosis,none
nephropathy induced by unspecified drug medicament or biological substance,none
acute appendicitis with peritoneal abscess - 2008 classification,none
cerebral infarction due to thrombosis of precerebral arteries,cerebrovascular disease
inflammatory spondylopathy unspecified,none
passenger injured in collision with other and unspecified motor vehicles in traffic accident,none
toxic gastroenteritis and colitis,none
neurasthenia,none
other specified complications of labour and delivery,none
generalized and unspecified atherosclerosis,none
seborrhoeic dermatitis unspecified,none
cutaneous t-cell lymphoma unspecified,none
juvenile arthritis with systemic onset,none
spastic quadriplegic cerebral palsy,none
hypokalaemia,none
neoplasm of uncertain or unknown behaviour skin,none
vascular disorder of intestine unspecified,none
polyarthritis unspecified,none
other impaction of intestine,none
cardiac catheterization,none
other specified neoplasms of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue,none
postprocedural renal failure,none
extradural and subdural abscess unspecified,none
varicose veins of other specified sites,none
predominantly obsessional thoughts or ruminations,none
neoplasm of uncertain or unknown behaviour bone and articular cartilage,none
disorder of urinary system unspecified,none
malignant neoplasm long bones of lower limb,none
person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle traffic,none
hypertensive encephalopathy,cerebrovascular disease
other specified conditions originating in the perinatal period,none
car occupant injured in collision with fixed or stationary object passenger injured in traffic accident,none
hypersplenism,none
benign neoplasm cranial nerves,none
acquired deformity of limb unspecified,none
microscopic polyangiitis,none
tuberculosis of bones and joints,none
person on ground injured in air transport accident,none
acute myocarditis unspecified,none
rheumatoid arthritis with involvement of other organs and systems,none
respiratory syncytial virus pneumonia,none
perforation of gallbladder,none
paroxysmal atrial fibrillation from 2014 onwards,none
intracerebral haemorrhage multiple localized,cerebrovascular disease
wrist or foot drop acquired,none
other specified disorders of bladder,none
acute tracheitis,none
cellulitis of trunk,none
benign neoplasm parathyroid gland,none
malignant neoplasm ethmoidal sinus,none
mental and behavioural disorders due to use of cocaine harmful use,none
fetus and newborn affected by other compression of umbilical cord,none
pedal cyclist injured in collision with pedestrian or animal driver injured in traffic accident,none
visual hallucinations,none
bus occupant [any] injured in other specified transport accidents,none
neonatal cerebral ischaemia,none
interstitial emphysema,pulmonary disease
other disorders of lipoprotein metabolism,none
mental and behavioural disorders due to use of alcohol harmful use,none
malignant neoplasm mouth unspecified,oral cavity cancer
unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident,none
malnutrition-related diabetes mellitus with ketoacidosis,none
disseminated strongyloidiasis,none
acute hepatitis c,none
mental and behavioural disorders due to use of alcohol unspecified mental and behavioural disorder,none
acute pharyngitis due to other specified organisms,none
other cystitis,none
non-insulin-dependent diabetes mellitus with renal complications,none
occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none
dysarthria and anarthria,none
other congenital malformations of hair,none
liver disorders in pregnancy childbirth and the puerperium,none
thalassaemia trait,none
person injured in collision between other specified motor vehicles traffic,none
chronic rheumatic pericarditis,none
occupant of heavy transport vehicle injured in noncollision transport accident passenger injured in traffic accident,none
other spondylosis with myelopathy,none
toxic liver disease with hepatic necrosis,none
by other specified persons,none
drug-induced myopathy,none
adult-onset still disease,none
haemophagocytic lymphohistiocytosis,none
pedestrian injured in collision with other nonmotor vehicle unspecified whether traffic or nontraffic accident,none
malignant neoplasm optic nerve,none
acute meningococcaemia,none
secondary and unspecified malignant neoplasm lymph nodes of head face and neck,none
congenital bronchomalacia,none
subsequent myocardial infarction of other sites,ischaemic heart disease
systemic inflammatory response syndrome unspecified,none
polymyalgia rheumatica,none
duodenal ulcer unspecified as acute or chronic without haemorrhage or perforation,none
obstructive and reflux uropathy unspecified,none
budd-chiari syndrome,none
malignant neoplasm nasopharynx unspecified,none
neuropathy in association with hereditary ataxia,none
neoplasm of uncertain or unknown behaviour parathyroid gland,none
pre-excitation syndrome,none
primary biliary cirrhosis,none
pneumonia due to other aerobic gram-negative bacteria,none
delayed delivery after spontaneous or unspecified rupture of membranes,none
congenital malformation of urinary system unspecified,none
pedestrian injured in nontraffic accident involving other and unspecified motor vehicles,none
other disorders of glycoprotein metabolism,none
renal agenesis unilateral,none
rabies unspecified,none
meningococcaemia unspecified,none
other and unspecified cirrhosis of liver,none
multi-system degeneration,none
bacterial meningoencephalitis and meningomyelitis not elsewhere classified,none
trochanteric bursitis,none
renal hypoplasia bilateral,none
zoster without complication,none
unspecified abdominal hernia without obstruction or gangrene,none
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances dependence syndrome,none
polyp of female genital tract unspecified,none
thoracic aortic aneurysm without mention of rupture,none
embolism and thrombosis of abdominal aorta,none
other specified symptoms and signs involving the circulatory and respiratory systems,none
infective myositis,none
haemorrhagic condition unspecified,none
wiskott-aldrich syndrome,none
isolated myocarditis,none
hypertrophy of tonsils,none
diaphragmatic hernia with gangrene,none
car occupant injured in collision with fixed or stationary object driver injured in nontraffic accident,none
congenital pneumonia due to pseudomonas,none
ventral hernia without obstruction or gangrene from 2014 onwards,none
prepatellar bursitis,none
gangrene and necrosis of lung,pulmonary disease
atrioventricular block first degree,none
malignant neoplasm peripheral nerves of lower limb including hip,none
endometrial glandular hyperplasia,none
thanatophoric short stature,none
other sickle-cell disorders,none
peptic ulcer site unspecified acute without haemorrhage or perforation,none
benign neoplasm other parts of oropharynx,none
other specified disorders of gingiva and edentulous alveolar ridge,none
listerial sepsis,none
other intracerebral haemorrhage,cerebrovascular disease
dissection of aorta [any part],none
driver of special agricultural vehicle injured in traffic accident,none
sequelae of tuberculosis of bones and joints,none
other congenital malformations of liver,none
other sleep disorders,none
malignant neoplasm vulva unspecified,none
waldenstrom macroglobulinaemia,none
congenital malformation of spinal cord unspecified,none
other specified infections specific to the perinatal period,none
disorders of meninges not elsewhere classified,none
congenital malformations of adrenal gland,none
other specified diabetes mellitus with multiple complications,none
holoprosencephaly,none
aneurysm and dissection of renal artery,none
candidal stomatitis,none
granulomatous disorder of skin and subcutaneous tissue unspecified,none
antiallergic and antiemetic drugs,none
enterovirus infection unspecified site,none
malignant neoplasm overlapping lesion of rectum anus and anal canal,none
arthropathic psoriasis,none
factitial dermatitis,none
aminoglycosides,none
benign neoplasm lacrimal gland and duct,none
disorder of glycoprotein metabolism unspecified,none
birth injury to spine and spinal cord,none
cystic fibrosis with intestinal manifestations,none
other and unspecified antidepressants,none
benign neoplasm other specified intrathoracic organs,none
fetus and newborn affected by breech delivery and extraction,none
cerebral cysts,none
amyloidosis unspecified,none
leukaemia unspecified,none
left ventricular failure,none
carcinoma in situ skin of scalp and neck,none
other iron deficiency anaemias,none
other congenital malformations of bronchus,none
rectal polyp,none
sequelae of viral encephalitis,none
gastrointestinal haemorrhage unspecified,none
atherosclerosis of renal artery,none
other diseases of salivary glands,none
other specified congenital malformations of respiratory system,none
triploidy and polyploidy,none
other disorders resulting from impaired renal tubular function,none
refractory anaemia with excess of blasts,none
hyperkalaemia,none
other specified rheumatoid arthritis,none
other specified congenital malformations of skull and face bones,none
adjustment disorders,none
water-transport-related drowning and submersion without accident to watercraft fishing boat,none
other neuromuscular dysfunction of bladder,none
other specified diabetes mellitus with other specified complications,none
other specified endocrine disorders,none
other specified congenital malformations,none
localized connective tissue disorder unspecified,none
leptospirosis icterohaemorrhagica,none
malignant neoplasm oropharynx unspecified,none
subdural haemorrhage acutenontraumatic,cerebrovascular disease
pedestrian injured in collision with car pick-up truck or van unspecified whether traffic or nontraffic accident,none
other infection of genital tract following delivery,none
human metapneumovirus pneumonia,none
portal hypertension,none
adenoviral enteritis,none
other manifestations of thiamine deficiency,none
haemoptysis,none
benign neoplasm skin unspecified,none
malignant neoplasm nasal cavity,none
pedestrian injured in collision with two- or three-wheeled motor vehicle traffic accident,none
menopausal and female climacteric states,none
personality disorder unspecified,none
occupant [any] of three-wheeled motor vehicle injured in unspecified traffic accident,none
nquest adjourned,none
rheumatic aortic stenosis,none
myoneural disorder unspecified,none
acute transmural myocardial infarction of other sites,ischaemic heart disease
congenital syphilis unspecified,none
other tricuspid valve diseases,none
hypertensive heart disease without congestive heart failure,none
bradycardia unspecified,none
alzheimer disease unspecified,none
malformation of coronary vessels,none
other reconstructive surgery,none
fistula of joint,none
conduction disorder unspecified,none
other non-follicular lymphoma,none
other specified disorders of peritoneum,none
anticoagulant antagonists vitamin k and other coagulants,none
chronic nephritic syndrome unspecified,none
balkan nephropathy,none
other paralytic strabismus,none
other specified acute viral hepatitis,none
other encephalitis myelitis and encephalomyelitis,none
drug-induced polyneuropathy,none
arteriovenous fistula acquired,none
other specified degenerative diseases of nervous system,none
lesch-nyhan syndrome,none
herpesviral infection unspecified,none
mental and behavioural disorders due to use of cannabinoids dependence syndrome,none
obstructive hydrocephalus,none
disorders of both mitral and aortic valves,none
other systemic antibiotics,none
cystic fibrosis with pulmonary manifestations,none
multiple valve disease unspecified,none
urinary catheterization,none
malformations of aqueduct of sylvius,none
skeletal muscle relaxants [neuromuscular blocking agents],none
secondary systemic amyloidosis,none
hereditary elliptocytosis,none
disorder of peritoneum unspecified,none
congenital cytomegalovirus infection,none
congenital malformation of respiratory system unspecified,none
leptospirosis unspecified,none
fetal alcohol syndrome dysmorphic,none
congenital malformation of skull and face bones unspecified,none
congenital heart block,none
myeloid leukaemia unspecified,acute myeloid leukemia
drug-induced hypoglycaemia without coma,none
contracture of joint,none
cardiac arrest unspecified,none
somatoform disorder unspecified,none
pathological dislocation and subluxation of joint not elsewhere classified,none
unspecified viral hepatitis with hepatic coma,none
bilateral inguinal hernia with gangrene,none
other specified congenital malformations of kidney,none
erythema multiforme unspecified,none
pedestrian injured in collision with car pick-up truck or van nontraffic accident,none
accident to watercraft causing drowning and submersion canoe or kayak,none
adult osteomalacia unspecified,none
otorhinolaryngological drugs and preparations,none
congenital malformations of lips not elsewhere classified,none
car occupant [any] injured in unspecified nontraffic accident,none
acute cystitis,none
congenital pulmonary valve insufficiency,none
malignant neoplasm of other and ill-defined sites head face and neck,none
listerial meningitis and meningoencephalitis,none
thyroid crisis or storm,none
idiopathic aseptic necrosis of bone,none
other cholecystitis,none
malignant neoplasm gum unspecified,oral cavity cancer
acute and transient psychotic disorder unspecified,none
subarachnoid haemorrhage from carotid siphon and bifurcation,cerebrovascular disease
haemorrhage in early pregnancy unspecified,none
other antineoplastic drugs,none
abscess of liver,none
dysplasia of prostate,none
occupant [any] of heavy transport vehicle injured in other specified transport accidents,none
disorder of trigeminal nerve unspecified,none
essential tremor,none
alzheimer disease with late onset,none
fetus and newborn affected by placental transfusion syndromes,none
neoplasm of uncertain or unknown behaviour aortic body and other paraganglia,none
other abnormal findings on diagnostic imaging of central nervous system,none
chronic ischaemic heart disease unspecified,ischaemic heart disease
prostatocystitis,none
acute and fulminating melioidosis,none
other pulmonary valve disorders,none
aortic valve stenosis,none
hydroureter,none
neoplasm of uncertain or unknown behaviour pituitary gland,none
unspecified osteoporosis with pathological fracture,none
epilepsy unspecified,none
malignant neoplasm overlapping lesion of skin,none
typhoid fever,none
cellulitis unspecified,none
complication of labour and delivery unspecified,none
congenital pneumonia due to viral agent,none
non-insulin-dependent diabetes mellitus without complications,none
left sided colitis,none
multiple system atrophy cerebellar type [msa-c] 2016 onwards,none
hiv disease resulting in multiple infections,none
congenital cerebral cysts,none
malignant neoplasm olfactory nerve,none
circumscribed brain atrophy,none
chronic mastoiditis,none
chronic pansinusitis,none
other delirium,none
farmer lung,none
neoplasm of uncertain or unknown behaviour other digestive organs,none
idiopathic progressive neuropathy,none
other specified renal tubulo-interstitial diseases,none
disorders of tyrosine metabolism,none
other transient cerebral ischaemic attacks and related syndromes,cerebrovascular disease
other placental disorders,none
other drug-induced secondary parkinsonism,none
accident on board watercraft without accident to watercraft not causing drowning and submersion unspecified watercraft,none
kernicterus unspecified,none
congenital pulmonary valve stenosis,none
malignant neoplasm laryngeal cartilage,larynx cancer
drug-induced interstitial lung disorders unspecified,none
congenital malformation of aortic and mitral valves unspecified,none
neuromuscular dysfunction of bladder unspecified,none
sepsis of newborn due to staphylococcus aureus,none
psychodysleptics [hallucinogens],none
malignant neoplasm skin of other and unspecified parts of face,none
acute megakaryoblastic leukaemia,none
abscess of intestine,none
other mitral valve diseases,none
disorders of urea cycle metabolism,none
gastrojejunal ulcer chronic or unspecified with perforation,none
sepsis due to haemophilus influenzae,none
sepsis due to streptococcus group d,none
spasm of sphincter of oddi,none
cerebellar ataxia with defective dna repair,none
other hair colour and hair shaft abnormalities,none
pulmonary collapse,pulmonary disease
chronic and other pulmonary manifestations due to radiation,none
acute mastoiditis,none
malignant neoplasm brain stem,none
delusional disorder,none
gastroschisis,none
malignant neoplasm urethra,none
fluid overload,none
pre-eclampsia unspecified,none
acute nonspecific idiopathic pericarditis,none
malignant neoplasm bronchus or lung unspecified,lung cancer
cutis laxa senilis,none
degenerative disease of nervous system unspecified,none
acquired pure red cell aplasia unspecified,none
vesicovaginal fistula,none
histiocytic and mast cell tumours of uncertain and unknown behaviour,none
pure hyperglyceridaemia,none
viral vaccines,none
dilated cardiomyopathy,none
toxic liver disease with cholestasis,none
person injured while boarding or alighting from special agricultural vehicle,none
other congenital deformities of feet,none
other chorea,none
acute lymphoblastic leukaemia [all],none
rheumatoid nodule,none
malignant neoplasm liver unspecified,none
malignant neoplasm body of stomach,stomach cancer
other congenital malformations of spine not associated with scoliosis,none
fetus and newborn affected by maternal hypertensive disorders,none
occupant of heavy transport vehicle injured in collision with fixed or stationary object driver injured in nontraffic accident,none
cerebral infarction due to embolism of cerebral arteries,cerebrovascular disease
haemorrhage of anus and rectum,none
decubitus ulcer and pressure area unspecified from 2014 onwards,none
hydrocephalus unspecified,none
severe pre-eclampsia,none
thromboangiitis obliterans [buerger],none
embolism and thrombosis of arteries of lower extremities,none
other specified functional intestinal disorders,none
juvenile myelomonocytic leukaemia,none
unspecified nephritic syndrome minor glomerular abnormality,none
other symptoms and signs concerning food and fluid intake,none
accessory kidney,none
other abscess of pharynx,none
other dystonia,none
chronic viral hepatitis b without delta-agent,none
idiopathic hypotension,none
paralytic ileus,none
ankylosis of joint,none
postmenopausal atrophic vaginitis,none
malignant neoplasm malignant melanoma of ear and external auricular canal,none
varicella pneumonia,none
other viral enteritis,none
acute epiglottitis,none
acromegaly and pituitary gigantism,none
other specified malignant neoplasms of lymphoid haematopoietic and related tissue,none
other psoriasis,none
other specified mononeuropathies,none
malignant neoplasm upper lobe bronchus or lung,lung cancer
eosinophilia,none
other specified noninflammatory disorders of cervix uteri,none
pure hypercholesterolaemia,none
malignant neoplasm of other and ill-defined sites abdomen,none
byssinosis,none
perforation of oesophagus,none
motorcycle rider injured in collision with fixed or stationary object driver injured in traffic accident,none
by unspecified person,none
achalasia of cardia,none
sequelae of intracerebral haemorrhage,cerebrovascular disease
alcoholic cirrhosis of liver,none
motorcycle rider injured in collision with other nonmotor vehicle driver injured in traffic accident,none
mental and behavioural disorders due to use of alcohol withdrawal state,none
neoplasm of uncertain or unknown behaviour urethra,none
cardiomyopathy unspecified,none
person injured in other specified collisionnoncollision transport accidents involving nonmotor vehicle traffic,none
occupant of railway train or railway vehicle injured in unspecified railway accident,none
rh isoimmunization of fetus and newborn,none
other congenital malformations of cardiac septa,none
autoimmune thyroiditis,none
fistula of gallbladder,none
pyogenic arthritis unspecified,none
accident on board watercraft without accident to watercraft not causing drowning and submersion other powered watercraft,none
other acute myocarditis,none
duodenal ulcer chronic or unspecified with haemorrhage,none
fragile x chromosome,none
pedal cyclist injured in collision with car pick-up truck or van driver injured in traffic accident,none
sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient or of later complication without mention of misadventure at the time of the procedure,none
cardiac-stimulant glycosides and drugs of similar action,none
other disorders of facial nerve,none
chronic obstructive pulmonary disease with acute exacerbation unspecified,pulmonary disease
pilonidal cyst with abscess,none
noninflammatory disorder of ovary fallopian tube and broad ligament unspecified,none
benign neoplasm other specified endocrine glands,none
arthritis unspecified,none
dyskinetic cerebral palsy,none
other specified congenital malformations of brain,none
peritonitis unspecified,none
malignant neoplasm soft palate,oral cavity cancer
neonatal cardiac dysrhythmia,none
spina bifida occulta,none
other mucopolysaccharidoses,none
angina pectoris unspecified,ischaemic heart disease
inflammatory disease of uterus unspecified,none
eczema herpeticum,none
seronegative rheumatoid arthritis,none
other specified diseases of digestive system,none
candidiasis of vulva and vagina,none
diseases of the respiratory system complicating pregnancy childbirth and the puerperium,none
malignant neoplasm ventral surface of tongue,oral cavity cancer
other forms of actinomycosis,none
malignant neoplasm tonsillar fossa,oral cavity cancer
other types of follicular lymphoma,none
malignant neoplasm cervical part of oesophagus,esophageal cancer
calculus of bile duct without cholangitis or cholecystitis,none
person on outside of special agricultural vehicle injured in traffic accident,none
diaphragmatic hernia without obstruction or gangrene,none
infection of amniotic sac and membranes,none
achondroplasia,none
malignant neoplasm endocrine gland unspecified,none
car occupant injured in noncollision transport accident unspecified car occupant injured in traffic accident,none
malignant neoplasm anterior wall of nasopharynx,none
hypertensive heart and renal disease with both congestive heart failure and renal failure,none
myopathy unspecified,none
subcortical vascular dementia,cerebrovascular disease
anxiety disorder unspecified,none
transient cerebral ischaemic attack unspecified,cerebrovascular disease
sideropenic dysphagia,none
alcoholic hepatic failure,none
thoracic aortic aneurysm ruptured,none
klinefelter syndrome unspecified,none
unilateral or unspecified inguinal hernia without obstruction or gangrene,none
car occupant injured in noncollision transport accident passenger injured in nontraffic accident,none
other giant cell arteritis,none
mental and behavioural disorders due to use of other stimulants including caffeine unspecified mental and behavioural disorder,none
myelodysplastic and myeloproliferative disease not elsewhere classified,none
calculus of ureter,none
thoracic spina bifida with hydrocephalus,none
pedal cyclist injured in collision with heavy transport vehicle or bus driver injured in nontraffic accident,none
third-stage haemorrhage,none
peliosis hepatis,none
pneumonitis due to food and vomit,none
specific disorder of arithmetical skills,none
bus occupant injured in collision with car pick-up truck or van driver injured in traffic accident,none
ulcer of penis,none
recurrent dislocation and subluxation of joint,none
acute hepatitis e,none
motorcycle rider [any] injured in unspecified nontraffic accident,none
vascular disorders of male genital organs,none
occupant [any] of pick-up truck or van injured in other specified transport accidents,none
malignant neoplasm maxillary sinus,none
phlebitis of portal vein,none
other specified misadventures during surgical and medical care,none
occupant of heavy transport vehicle injured in noncollision transport accident person injured while boarding or alighting,none
mitral valve insufficiency,none
pneumocystosis,none
conjunctivitis unspecified,none
other gastritis,none
cellulitis of other parts of limb,none
other myeloid leukaemia,none
lipoprotein deficiency,none
malignant neoplasm submandibular gland,oral cavity cancer
mesothelioma unspecified,none
malignant neoplasm upper gum,oral cavity cancer
occupant of heavy transport vehicle injured in noncollision transport accident driver injured in nontraffic accident,none
tuberculosis of lung bacteriologically and histologically negative,none
thoracic spina bifida without hydrocephalus,none
systemic lupus erythematosus unspecified,none
cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,cerebrovascular disease
benign neoplasm connective and other soft tissue unspecified,none
non-insulin-dependent diabetes mellitus with ketoacidosis,none
other specified spondylopathies,none
pedal cyclist injured in noncollision transport accident unspecified pedal cyclist injured in traffic accident,none
delivery by caesarean section unspecified,none
thyrotoxicosis unspecified,none
other somatoform disorders,none
acute inflammation of orbit,none
mesothelioma of pleura,none
glider nonpowered accident injuring occupant,none
hiv disease resulting in pneumocystis jirovecii pneumonia,none
leukoplakia and other disturbances of oral epithelium including tongue,none
car occupant injured in collision with car pick-up truck or van person injured while boarding or alighting,none
blastic nk-cell lymphoma,none
malignant neoplasm pelvic bones sacrum and coccyx,none
malignant neoplasm conjunctiva,none
other neonatal gastrointestinal haemorrhage,none
neoplasm of uncertain or unknown behaviour connective and other soft tissue,none
sickle-cell anaemia with crisis,none
osteolysis,none
bus occupant injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none
stricture of artery,none
pedal cyclist injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none
pneumonia due to other streptococci,none
arthritis and polyarthritis due to other specified bacterial agents,none
alcoholic myopathy,none
cystitis unspecified,none
liver disease unspecified,none
malignant neoplasm malignant melanoma of other and unspecified parts of face,none
diverticular disease of intestine part unspecified with perforation and abscess,none
behcet disease,none
chronic obstructive pulmonary disease with acute lower respiratory infection,pulmonary disease
acute thyroiditis,none
localization-related focalpartial symptomatic epilepsy and epileptic syndromes with complex partial seizures,none
dissociative [conversion] disorder unspecified,none
non-insulin-dependent diabetes mellitus with other specified complications,none
malignant neoplasm testis unspecified,none
candidal sepsis,none
bus occupant injured in collision with two- or three-wheeled motor vehicle person injured while boarding or alighting,none
malignant neoplasm cerebrum except lobes and ventricles,none
cardiomyopathy due to drugs and other external agents,none
chronic ulcer of skin not elsewhere classified,none
subarachnoid haemorrhage from vertebral artery,cerebrovascular disease
ulcerative colitis unspecified,none
secondary and unspecified malignant neoplasm intra-abdominal lymph nodes,none
ectodermal dysplasia anhidrotic,none
other specified metabolic disorders,none
irritable bowel syndrome without diarrhoea,none
accident on board watercraft without accident to watercraft not causing drowning and submersion fishing boat,none
malignant neoplasm orbit,none
malignant neoplasm aryepiglottic fold hypopharyngeal aspect,none
lymphocytic choriomeningitis,none
toxoplasmosis unspecified,none
death from sequelae of direct obstetric cause,none
migraine unspecified,none
down syndrome unspecified,none
blind loop syndrome not elsewhere classified,none
carcinoma in situ colon,colorectal cancer
angioimmunoblastic t-cell lymphoma,none
other specified congenital malformations of limbs,none
refractory anaemia with excess of blasts with transformation - from 2008 classification,none
spina bifida unspecified,none
epidermolysis bullosa unspecified,none
malignant neoplasm tongue unspecified,oral cavity cancer
tuberculosis of larynx trachea and bronchus without mention of bacteriological or histological confirmation,none
bronchopulmonary dysplasia originating in the perinatal period,none
varicose veins of lower extremities with ulcer,none
driver of special construction vehicle injured in nontraffic accident,none
mucinosis of skin,none
anorectal abscess,none
pyothorax without fistula,none
disseminated zoster,none
melanoma in situ unspecified,none
uterovaginal prolapse unspecified,none
other acute gastritis,none
acute renal failure with tubular necrosis,none
mantle cell lymphoma,none
bus occupant injured in noncollision transport accident person on outside of vehicle injured in traffic accident,none
anthrax sepsis,none
carcinoma in situ rectum,colorectal cancer
haemothorax,none
other sideroblastic anaemias,none
hyposplenism,none
disorders of excessive somnolence [hypersomnias],none
other specified disorders of muscle,none
unspecified pulmonary haemorrhage originating in the perinatal period,none
neoplasm of uncertain or unknown behaviour peritoneum,none
morbidly adherent placenta,none
sequelae of events of undetermined intent,none
cerebral atherosclerosis,cerebrovascular disease
other specified abdominal hernia without obstruction or gangrene,none
respiratory tuberculosis unspecified without mention of bacteriological or histological confirmation,none
other specified chronic obstructive pulmonary disease,pulmonary disease
syringomyelia and syringobulbia,none
birth injury unspecified,none
disorders of amino-acid transport,none
immunoproliferative small intestinal disease,none
acquired haemolytic anaemia unspecified,none
enteritis due to yersinia enterocolitica,none
central haemorrhagic necrosis of liver,none
hourglass stricture and stenosis of stomach,none
neoplasm of uncertain or unknown behaviour cerebral meninges,none
gout due to impairment of renal function,none
cutaneous abscess furuncle and carbuncle of trunk,none
immobility,none
tropical spastic paraplegia,none
passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,none
sepsis due to other specified staphylococcus,none
undescended testicle unilateral,none
fibromyalgia,none
other specified intervertebral disc displacement,none
ulcer of anus and rectum,none
other obstructive and reflux uropathy,none
gastrointestinal mucormycosis,none
unspecified nephritic syndrome diffuse membranous glomerulonephritis,none
systemic involvement of connective tissue unspecified,none
salmonella sepsis,none
occupant of streetcar injured by fall in streetcar,none
other specified vaccines and biological substances,none
hypotension due to drugs,none
rheumatic chorea without heart involvement,none
other specified nutritional deficiencies,none
meningitis due to other specified causes,none
cord compression unspecified,none
congenital iodine-deficiency syndrome unspecified,none
malignant neoplasm overlapping lesion of respiratory and intrathoracic organs,none
constitutional aplastic anaemia,none
car occupant injured in collision with car pick-up truck or van driver injured in nontraffic accident,none
other specified congenital malformations of circulatory system,none
olecranon bursitis,none
malignant neoplasm postcricoid region,none
heart failure unspecified,none
hellp syndrome,none
other specified diseases of oesophagus,none
motorcycle rider injured in collision with pedal cycle driver injured in traffic accident,none
adenoviral pneumonia,none
transient myocardial ischaemia of newborn,none
socialized conduct disorder,none
neoplasm of uncertain or unknown behaviour lip oral cavity and pharynx,oral cavity cancer
chronic sphenoidal sinusitis,none
insufficient intake of food and water due to self neglect,none
other primary disorders of muscles,none
psoriasis vulgaris,none
varicose veins of lower extremities with both ulcer and inflammation,none
intraductal carcinoma in situ,none
congenital malformation syndromes predominantly involving limbs,none
legal intervention involving sharp objects,none
other forms of systemic sclerosis,none
benign neoplasm spinal meninges,none
noninflammatory disorder of vulva and perineum unspecified,none
occupant of heavy transport vehicle injured in collision with car pick-up truck or van driver injured in traffic accident,none
pharyngeal pouch,none
acute transmural myocardial infarction of anterior wall,ischaemic heart disease
other specified chromosome abnormalities,none
gastroenteritis and colitis of unspecified origin,none
lamellar ichthyosis,none
ectopic acth syndrome,none
rheumatoid arthritis unspecified,none
small for gestational age,none
insulin-dependent diabetes mellitus with unspecified complications,none
sudden cardiac death so described,none
gastrojejunal ulcer unspecified as acute or chronic without haemorrhage or perforation,none
benign neoplasm rectosigmoid junction,none
congenital diaphragmatic hernia,none
drug-induced aplastic anaemia,none
fistula of intestine,none
unspecified diabetes mellitus with other specified complications,none
severe combined immunodeficiency [scid] with low t- and b-cell numbers,none
acute nephritic syndrome focal and segmental glomerular lesions,none
choledochal cyst,none
calculus of gallbladder with other cholecystitis,none
hiv disease resulting in encephalopathy,none
acute tonsillitis due to other specified organisms,none
immunodeficiency following hereditary defective response to epstein-barr virus,none
sepsis due to streptococcus pneumoniae,none
other specified noninflammatory disorders of vagina,none
occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus person on outside of vehicle injured in nontraffic accident,none
occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus person on outside of vehicle injured in traffic accident,none
juvenile osteochondrosis of head of femur [legg-calv-perthes],none
benign neoplasm orbit unspecified,none
congenital pneumonia due to other bacterial agents,none
ehlers-danlos syndrome,none
compression of vein,none
osteomyelofibrosis,none
amputation of limbs,none
organ-limited amyloidosis,none
embolism and thrombosis of unspecified artery,none
acute hepatitis b without delta-agent with hepatic coma,none
subacute osteomyelitis,none
neoplasm of uncertain or unknown behaviour neoplasm of uncertain or unknown behaviour unspecified,none
polyneuropathy unspecified,none
other specified congenital malformations of digestive system,none
malignant neoplasm temporal lobe,none
congenital malformations of other endocrine glands,none
systemic sclerosis unspecified,none
congenital malformation of intestine unspecified,none
other specified perinatal digestive system disorders,none
collapsed vertebra not elsewhere classified,none
angiodysplasia of colon,none
duodenitis,none
other specified congenital malformation syndromes not elsewhere classified,none
disorders of fatty-acid metabolism,none
refsum disease,none
congenital tracheo-oesophageal fistula without atresia,none
other overlap syndromes,none
malignant neoplasm overlapping lesion of biliary tract,none
sepsis of newborn due to escherichia coli,none
aortopulmonary septal defect,none
benign neoplasm skin of ear and external auricular canal,none
irritant contact dermatitis due to other agents,none
chronic atrophic gastritis,none
visceral leishmaniasis,none
car occupant injured in collision with car pick-up truck or van person on outside of vehicle injured in traffic accident,none
subacute necrotizing myelitis,none
motorcycle rider injured in collision with pedestrian or animal passenger injured in traffic accident,none
malignant neoplasm mediastinum part unspecified,none
disorder of vein unspecified,none
deletion of short arm of chromosome 4,none
pulmonary actinomycosis,none
benign neoplasm brain unspecified,none
schizophrenia unspecified,none
acute vaginitis,none
vertebro-basilar artery syndrome,cerebrovascular disease
ulcer of intestine,none
