cause_of_death,category_gpt_4o_mini,category_gpt_4o,category_consensus,consensus_no,without_consensus,category_unanimous_consensus,category_human
short rib syndrome,none,none,none,2,False,none,none
asphyxia,none,none,none,2,False,none,none
rapidly progressive nephritic syndrome unspecified,none,none,none,2,False,none,none
pulmonary valve stenosis with insufficiency,none,none,none,2,False,none,none
hypoplasia and dysplasia of lung,none,none,none,2,False,none,none
acute laryngotracheitis,none,none,none,2,False,none,none
calcium-channel blockers,none,none,none,2,False,none,none
other secondary pulmonary hypertension,none,none,none,2,False,none,none
varicella meningitis,none,none,none,2,False,none,none
calculus of bile duct with cholangitis,none,none,none,2,False,none,none
other and unspecified atrioventricular block,none,none,none,2,False,none,none
congenital mitral stenosis,none,none,none,2,False,none,none
malignant neoplasm connective and soft tissue of pelvis,none,none,none,2,False,none,none
schizoaffective disorder unspecified,none,none,none,2,False,none,none
malignant neoplasm heart,none,none,none,2,False,none,none
feeding disorder of infancy and childhood,none,none,none,2,False,none,none
androgens and anabolic congeners,none,none,none,2,False,none,none
chronic eosinophilic leukaemia [hypereosinophilic syndrome],none,none,none,2,False,none,none
disorder of prostate unspecified,none,none,none,2,False,none,none
benign neoplasm respiratory system unspecified,none,none,none,2,False,none,none
acute abdomen,none,none,none,2,False,none,none
legal intervention involving firearm discharge,none,none,none,2,False,none,none
other osteonecrosis,none,none,none,2,False,none,none
malignant neoplasm ureteric orifice,none,none,none,2,False,none,bladder cancer
other vascular dementia,none,none,none,2,False,none,cerebrovascular disease
acute bronchiolitis due to respiratory syncytial virus,none,none,none,2,False,none,none
other and unspecified abnormalities of heart beat,none,none,none,2,False,none,none
pulmonary infundibular stenosis,none,none,none,2,False,none,none
other peritonitis,none,none,none,2,False,none,none
other specified interstitial pulmonary diseases,pulmonary disease,none,pulmonary disease,1,True,,pulmonary disease
congenital tricuspid stenosis,none,none,none,2,False,none,none
passenger of special construction vehicle injured in nontraffic accident,none,none,none,2,False,none,none
muscle wasting and atrophy not elsewhere classified,none,none,none,2,False,none,none
other specified intestinal infections,none,none,none,2,False,none,none
acute haemorrhagic gastritis,none,none,none,2,False,none,none
mycoplasma infection unspecified site,none,none,none,2,False,none,none
acute myelofibrosis - from 2008 classification,none,none,none,2,False,none,none
acute rheumatic pericarditis,none,none,none,2,False,none,none
intestinal capillariasis,none,none,none,2,False,none,none
diplegia of upper limbs,none,none,none,2,False,none,none
unspecified diabetes mellitus with multiple complications,none,none,none,2,False,none,none
oedema of larynx,none,none,none,2,False,none,none
pedal cyclist [any] injured in other specified transport accidents,none,none,none,2,False,none,none
placenta praevia with haemorrhage,none,none,none,2,False,none,none
parachutist injured in air transport accident,none,none,none,2,False,none,none
other aortic valve disorders,none,none,none,2,False,none,none
aneurysm and dissection of vertebral artery,none,none,none,2,False,none,none
campylobacter enteritis,none,none,none,2,False,none,none
other nonspecific lymphadenitis,none,none,none,2,False,none,none
glycogen storage disease,none,none,none,2,False,none,none
malignant neoplasm overlapping lesion of pancreas,pancreatic cancer,pancreatic cancer,pancreatic cancer,2,False,pancreatic cancer,pancreatic cancer
water-transport-related drowning and submersion without accident to watercraft merchant ship,none,none,none,2,False,none,none
arterial fibromuscular dysplasia,none,none,none,2,False,none,none
drug-induced cushing syndrome,none,none,none,2,False,none,none
malignant neoplasm bones of skull and face,none,none,none,2,False,none,none
cefalosporins and other beta-lactam antibiotics,none,none,none,2,False,none,none
sequelae of motor-vehicle accident,none,none,none,2,False,none,none
other specified diseases of pulmonary vessels,none,pulmonary disease,pulmonary disease,1,True,,none
granulomatous hepatitis not elsewhere classified,none,none,none,2,False,none,none
malignant neoplasm cerebral meninges,none,none,none,2,False,none,none
trichilemmal cyst,none,none,none,2,False,none,none
other apnoea of newborn,none,none,none,2,False,none,none
pneumococcal meningitis,none,none,none,2,False,none,none
tuberculosis of genitourinary system,none,none,none,2,False,none,none
occupant of heavy transport vehicle injured in collision with fixed or stationary object person on outside of vehicle injured in traffic accident,none,none,none,2,False,none,none
unspecified abortion complete or unspecified without complication,none,none,none,2,False,none,none
idiopathic aplastic anaemia,none,none,none,2,False,none,none
persistant atrial fibrillation from 2014 onwards,none,none,none,2,False,none,none
malignant neoplasm anal canal,none,none,none,2,False,none,none
pyogenic granuloma,none,none,none,2,False,none,none
pedestrian injured in unspecified nontraffic accident,none,none,none,2,False,none,none
other and unspecified hydronephrosis,none,none,none,2,False,none,none
malignant neoplasm middle lobe bronchus or lung,lung cancer,lung cancer,lung cancer,2,False,lung cancer,lung cancer
person injured in collision between car and pick-up truck or van traffic,none,none,none,2,False,none,none
acute appendicitis with generalized peritonitis,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour bladder,bladder cancer,bladder cancer,bladder cancer,2,False,bladder cancer,bladder cancer
viral infection unspecified,none,none,none,2,False,none,none
discitis unspecified,none,none,none,2,False,none,none
other hyperphenylalaninaemias,none,none,none,2,False,none,none
diseases of bronchus not elsewhere classified,pulmonary disease,pulmonary disease,pulmonary disease,2,False,pulmonary disease,pulmonary disease
malignant neoplasm adrenal gland unspecified,none,none,none,2,False,none,none
disorders of pyruvate metabolism and gluconeogenesis,none,none,none,2,False,none,none
gastric ulcer acute with both haemorrhage and perforation,none,none,none,2,False,none,none
glanders,none,none,none,2,False,none,none
fatigue fracture of vertebra,none,none,none,2,False,none,none
carcinoma in situ other and unspecified urinary organs,none,none,none,2,False,none,none
diverticulum of oesophagus acquired,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour trachea bronchus and lung,lung cancer,lung cancer,lung cancer,2,False,lung cancer,lung cancer
cerebral infarction due to thrombosis of cerebral arteries,none,cerebrovascular disease,cerebrovascular disease,1,True,,cerebrovascular disease
benign neoplasm thymus,none,none,none,2,False,none,none
spontaneous ecchymoses,none,none,none,2,False,none,none
other specified disorders of brain,none,none,none,2,False,none,none
malignant neoplasm overlapping lesion of other and unspecified parts of mouth,oral cavity cancer,oral cavity cancer,oral cavity cancer,2,False,oral cavity cancer,oral cavity cancer
pedal cyclist injured in collision with car pick-up truck or van unspecified pedal cyclist injured in traffic accident,none,none,none,2,False,none,none
cyst of spleen,none,none,none,2,False,none,none
congenital stenosis of aortic valve,none,none,none,2,False,none,none
trigeminal neuralgia,none,none,none,2,False,none,none
unspecified nephritic syndrome diffuse mesangiocapillary glomerulonephritis,none,none,none,2,False,none,none
other specified diabetes mellitus with unspecified complications,none,none,none,2,False,none,none
hypovolaemic shock,none,none,none,2,False,none,none
non-neuropathic heredofamilial amyloidosis,none,none,none,2,False,none,none
acute leukaemia of unspecified cell type,acute myeloid leukemia,none,acute myeloid leukemia,1,True,,none
other specified osteochondrodysplasias,none,none,none,2,False,none,none
candidiasis of other urogenital sites,none,none,none,2,False,none,none
ventricular fibrillation and flutter,none,none,none,2,False,none,none
other shock,none,none,none,2,False,none,none
senile degeneration of brain not elsewhere classified,none,none,none,2,False,none,none
ventral hernia with gangrene from 2014 onwards,none,none,none,2,False,none,none
staphylococcal arthritis and polyarthritis,none,none,none,2,False,none,none
other diseases of tongue,none,none,none,2,False,none,none
other and unspecified ovarian cysts,none,none,none,2,False,none,none
viral carditis,none,none,none,2,False,none,none
congenital subaortic stenosis,none,none,none,2,False,none,none
extremely low birth weight,none,none,none,2,False,none,none
other  chronic renal failure - from 2008 classification,,none,none,1,False,,none
congenital malformation of face and neck unspecified,none,none,none,2,False,none,none
osteoporosis unspecified,none,none,none,2,False,none,none
osteomyelitis unspecified,none,none,none,2,False,none,none
purulent endophthalmitis,none,none,none,2,False,none,none
occupant of streetcar injured in derailment without antecedent collision,none,none,none,2,False,none,none
other congenital malformations of trachea,none,none,none,2,False,none,none
invasive pulmonary aspergillosis,none,none,none,2,False,none,none
local infection of skin and subcutaneous tissue unspecified,none,none,none,2,False,none,none
malignant neoplasm craniopharyngeal duct,none,none,none,2,False,none,none
cerebral cryptococcosis,none,none,none,2,False,none,none
nephropathy induced by unspecified drug medicament or biological substance,none,none,none,2,False,none,none
acute appendicitis with peritoneal abscess - 2008 classification,none,none,none,2,False,none,none
cerebral infarction due to thrombosis of precerebral arteries,cerebrovascular disease,cerebrovascular disease,cerebrovascular disease,2,False,cerebrovascular disease,cerebrovascular disease
inflammatory spondylopathy unspecified,none,none,none,2,False,none,none
passenger injured in collision with other and unspecified motor vehicles in traffic accident,none,none,none,2,False,none,none
toxic gastroenteritis and colitis,none,none,none,2,False,none,none
neurasthenia,none,none,none,2,False,none,none
other specified complications of labour and delivery,none,none,none,2,False,none,none
generalized and unspecified atherosclerosis,none,ischaemic heart disease,ischaemic heart disease,1,True,,none
seborrhoeic dermatitis unspecified,none,none,none,2,False,none,none
cutaneous t-cell lymphoma unspecified,none,none,none,2,False,none,none
juvenile arthritis with systemic onset,none,none,none,2,False,none,none
spastic quadriplegic cerebral palsy,none,none,none,2,False,none,none
hypokalaemia,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour skin,none,none,none,2,False,none,none
vascular disorder of intestine unspecified,none,none,none,2,False,none,none
polyarthritis unspecified,none,none,none,2,False,none,none
other impaction of intestine,none,none,none,2,False,none,none
cardiac catheterization,none,none,none,2,False,none,none
other specified neoplasms of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue,none,none,none,2,False,none,none
postprocedural renal failure,none,none,none,2,False,none,none
extradural and subdural abscess unspecified,none,none,none,2,False,none,none
varicose veins of other specified sites,none,none,none,2,False,none,none
predominantly obsessional thoughts or ruminations,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour bone and articular cartilage,none,none,none,2,False,none,none
disorder of urinary system unspecified,none,none,none,2,False,none,none
malignant neoplasm long bones of lower limb,none,none,none,2,False,none,none
person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle traffic,none,none,none,2,False,none,none
hypertensive encephalopathy,none,none,none,2,False,none,cerebrovascular disease
other specified conditions originating in the perinatal period,none,none,none,2,False,none,none
car occupant injured in collision with fixed or stationary object passenger injured in traffic accident,none,none,none,2,False,none,none
hypersplenism,none,none,none,2,False,none,none
benign neoplasm cranial nerves,none,none,none,2,False,none,none
acquired deformity of limb unspecified,none,none,none,2,False,none,none
microscopic polyangiitis,none,none,none,2,False,none,none
tuberculosis of bones and joints,none,none,none,2,False,none,none
person on ground injured in air transport accident,none,none,none,2,False,none,none
acute myocarditis unspecified,none,none,none,2,False,none,none
rheumatoid arthritis with involvement of other organs and systems,none,none,none,2,False,none,none
respiratory syncytial virus pneumonia,none,none,none,2,False,none,none
perforation of gallbladder,none,none,none,2,False,none,none
paroxysmal atrial fibrillation from 2014 onwards,none,ischaemic heart disease,ischaemic heart disease,1,True,,none
intracerebral haemorrhage multiple localized,none,cerebrovascular disease,cerebrovascular disease,1,True,,cerebrovascular disease
wrist or foot drop acquired,none,none,none,2,False,none,none
other specified disorders of bladder,none,none,none,2,False,none,none
acute tracheitis,none,none,none,2,False,none,none
cellulitis of trunk,none,none,none,2,False,none,none
benign neoplasm parathyroid gland,none,none,none,2,False,none,none
malignant neoplasm ethmoidal sinus,none,none,none,2,False,none,none
mental and behavioural disorders due to use of cocaine harmful use,none,none,none,2,False,none,none
fetus and newborn affected by other compression of umbilical cord,none,none,none,2,False,none,none
pedal cyclist injured in collision with pedestrian or animal driver injured in traffic accident,none,none,none,2,False,none,none
visual hallucinations,none,none,none,2,False,none,none
bus occupant [any] injured in other specified transport accidents,none,none,none,2,False,none,none
neonatal cerebral ischaemia,none,none,none,2,False,none,none
interstitial emphysema,pulmonary disease,pulmonary disease,pulmonary disease,2,False,pulmonary disease,pulmonary disease
other disorders of lipoprotein metabolism,none,none,none,2,False,none,none
mental and behavioural disorders due to use of alcohol harmful use,none,none,none,2,False,none,none
malignant neoplasm mouth unspecified,oral cavity cancer,oral cavity cancer,oral cavity cancer,2,False,oral cavity cancer,oral cavity cancer
unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident,none,none,none,2,False,none,none
malnutrition-related diabetes mellitus with ketoacidosis,none,none,none,2,False,none,none
disseminated strongyloidiasis,none,none,none,2,False,none,none
acute hepatitis c,none,none,none,2,False,none,none
mental and behavioural disorders due to use of alcohol unspecified mental and behavioural disorder,none,none,none,2,False,none,none
acute pharyngitis due to other specified organisms,none,none,none,2,False,none,none
other cystitis,none,none,none,2,False,none,none
non-insulin-dependent diabetes mellitus with renal complications,none,none,none,2,False,none,none
occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none,none,none,2,False,none,none
dysarthria and anarthria,none,none,none,2,False,none,none
other congenital malformations of hair,none,none,none,2,False,none,none
liver disorders in pregnancy childbirth and the puerperium,none,none,none,2,False,none,none
thalassaemia trait,none,none,none,2,False,none,none
person injured in collision between other specified motor vehicles traffic,none,none,none,2,False,none,none
chronic rheumatic pericarditis,none,none,none,2,False,none,none
occupant of heavy transport vehicle injured in noncollision transport accident passenger injured in traffic accident,none,none,none,2,False,none,none
other spondylosis with myelopathy,none,none,none,2,False,none,none
toxic liver disease with hepatic necrosis,none,none,none,2,False,none,none
by other specified persons,none,none,none,2,False,none,none
drug-induced myopathy,none,none,none,2,False,none,none
adult-onset still disease,none,none,none,2,False,none,none
haemophagocytic lymphohistiocytosis,none,none,none,2,False,none,none
pedestrian injured in collision with other nonmotor vehicle unspecified whether traffic or nontraffic accident,none,none,none,2,False,none,none
malignant neoplasm optic nerve,none,none,none,2,False,none,none
acute meningococcaemia,none,none,none,2,False,none,none
secondary and unspecified malignant neoplasm lymph nodes of head face and neck,none,none,none,2,False,none,none
congenital bronchomalacia,none,none,none,2,False,none,none
subsequent myocardial infarction of other sites,ischaemic heart disease,ischaemic heart disease,ischaemic heart disease,2,False,ischaemic heart disease,ischaemic heart disease
systemic inflammatory response syndrome unspecified,none,none,none,2,False,none,none
polymyalgia rheumatica,none,none,none,2,False,none,none
duodenal ulcer unspecified as acute or chronic without haemorrhage or perforation,none,none,none,2,False,none,none
obstructive and reflux uropathy unspecified,none,none,none,2,False,none,none
budd-chiari syndrome,none,none,none,2,False,none,none
malignant neoplasm nasopharynx unspecified,none,none,none,2,False,none,none
neuropathy in association with hereditary ataxia,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour parathyroid gland,none,none,none,2,False,none,none
pre-excitation syndrome,none,none,none,2,False,none,none
primary biliary cirrhosis,none,none,none,2,False,none,none
pneumonia due to other aerobic gram-negative bacteria,none,none,none,2,False,none,none
delayed delivery after spontaneous or unspecified rupture of membranes,none,none,none,2,False,none,none
congenital malformation of urinary system unspecified,none,none,none,2,False,none,none
pedestrian injured in nontraffic accident involving other and unspecified motor vehicles,none,none,none,2,False,none,none
other disorders of glycoprotein metabolism,none,none,none,2,False,none,none
renal agenesis unilateral,none,none,none,2,False,none,none
rabies unspecified,none,none,none,2,False,none,none
meningococcaemia unspecified,none,none,none,2,False,none,none
other and unspecified cirrhosis of liver,none,none,none,2,False,none,none
multi-system degeneration,none,none,none,2,False,none,none
bacterial meningoencephalitis and meningomyelitis not elsewhere classified,none,none,none,2,False,none,none
trochanteric bursitis,none,none,none,2,False,none,none
renal hypoplasia bilateral,none,none,none,2,False,none,none
zoster without complication,none,none,none,2,False,none,none
unspecified abdominal hernia without obstruction or gangrene,none,none,none,2,False,none,none
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances dependence syndrome,none,none,none,2,False,none,none
polyp of female genital tract unspecified,none,none,none,2,False,none,none
thoracic aortic aneurysm without mention of rupture,none,none,none,2,False,none,none
embolism and thrombosis of abdominal aorta,none,none,none,2,False,none,none
other specified symptoms and signs involving the circulatory and respiratory systems,none,none,none,2,False,none,none
infective myositis,none,none,none,2,False,none,none
haemorrhagic condition unspecified,none,none,none,2,False,none,none
wiskott-aldrich syndrome,none,none,none,2,False,none,none
isolated myocarditis,none,none,none,2,False,none,none
hypertrophy of tonsils,none,none,none,2,False,none,none
diaphragmatic hernia with gangrene,none,none,none,2,False,none,none
car occupant injured in collision with fixed or stationary object driver injured in nontraffic accident,none,none,none,2,False,none,none
congenital pneumonia due to pseudomonas,none,none,none,2,False,none,none
ventral hernia without obstruction or gangrene from 2014 onwards,none,none,none,2,False,none,none
prepatellar bursitis,none,none,none,2,False,none,none
gangrene and necrosis of lung,pulmonary disease,none,pulmonary disease,1,True,,pulmonary disease
atrioventricular block first degree,none,none,none,2,False,none,none
malignant neoplasm peripheral nerves of lower limb including hip,none,none,none,2,False,none,none
endometrial glandular hyperplasia,none,none,none,2,False,none,none
thanatophoric short stature,none,none,none,2,False,none,none
other sickle-cell disorders,none,none,none,2,False,none,none
peptic ulcer site unspecified acute without haemorrhage or perforation,none,none,none,2,False,none,none
benign neoplasm other parts of oropharynx,none,none,none,2,False,none,none
other specified disorders of gingiva and edentulous alveolar ridge,none,none,none,2,False,none,none
listerial sepsis,none,none,none,2,False,none,none
other intracerebral haemorrhage,none,cerebrovascular disease,cerebrovascular disease,1,True,,cerebrovascular disease
dissection of aorta [any part],none,none,none,2,False,none,none
driver of special agricultural vehicle injured in traffic accident,none,none,none,2,False,none,none
sequelae of tuberculosis of bones and joints,none,none,none,2,False,none,none
other congenital malformations of liver,none,none,none,2,False,none,none
other sleep disorders,none,none,none,2,False,none,none
malignant neoplasm vulva unspecified,none,none,none,2,False,none,none
waldenstrom macroglobulinaemia,none,none,none,2,False,none,none
congenital malformation of spinal cord unspecified,none,none,none,2,False,none,none
other specified infections specific to the perinatal period,none,none,none,2,False,none,none
disorders of meninges not elsewhere classified,none,none,none,2,False,none,none
congenital malformations of adrenal gland,none,none,none,2,False,none,none
other specified diabetes mellitus with multiple complications,none,none,none,2,False,none,none
holoprosencephaly,none,none,none,2,False,none,none
aneurysm and dissection of renal artery,none,none,none,2,False,none,none
candidal stomatitis,none,none,none,2,False,none,none
granulomatous disorder of skin and subcutaneous tissue unspecified,none,none,none,2,False,none,none
antiallergic and antiemetic drugs,none,none,none,2,False,none,none
enterovirus infection unspecified site,none,none,none,2,False,none,none
malignant neoplasm overlapping lesion of rectum anus and anal canal,colorectal cancer,colorectal cancer,colorectal cancer,2,False,colorectal cancer,none
arthropathic psoriasis,none,none,none,2,False,none,none
factitial dermatitis,none,none,none,2,False,none,none
aminoglycosides,none,none,none,2,False,none,none
benign neoplasm lacrimal gland and duct,none,none,none,2,False,none,none
disorder of glycoprotein metabolism unspecified,none,none,none,2,False,none,none
birth injury to spine and spinal cord,none,none,none,2,False,none,none
cystic fibrosis with intestinal manifestations,none,none,none,2,False,none,none
other and unspecified antidepressants,none,none,none,2,False,none,none
benign neoplasm other specified intrathoracic organs,none,none,none,2,False,none,none
fetus and newborn affected by breech delivery and extraction,none,none,none,2,False,none,none
cerebral cysts,none,none,none,2,False,none,none
amyloidosis unspecified,none,none,none,2,False,none,none
leukaemia unspecified,acute myeloid leukemia,none,acute myeloid leukemia,1,True,,none
left ventricular failure,none,ischaemic heart disease,ischaemic heart disease,1,True,,none
carcinoma in situ skin of scalp and neck,none,none,none,2,False,none,none
other iron deficiency anaemias,none,none,none,2,False,none,none
other congenital malformations of bronchus,none,none,none,2,False,none,none
rectal polyp,none,none,none,2,False,none,none
sequelae of viral encephalitis,none,none,none,2,False,none,none
gastrointestinal haemorrhage unspecified,none,none,none,2,False,none,none
atherosclerosis of renal artery,none,none,none,2,False,none,none
other diseases of salivary glands,none,none,none,2,False,none,none
other specified congenital malformations of respiratory system,none,none,none,2,False,none,none
triploidy and polyploidy,none,none,none,2,False,none,none
other disorders resulting from impaired renal tubular function,none,none,none,2,False,none,none
refractory anaemia with excess of blasts,none,none,none,2,False,none,none
hyperkalaemia,none,none,none,2,False,none,none
other specified rheumatoid arthritis,none,none,none,2,False,none,none
other specified congenital malformations of skull and face bones,none,none,none,2,False,none,none
adjustment disorders,none,none,none,2,False,none,none
water-transport-related drowning and submersion without accident to watercraft fishing boat,none,none,none,2,False,none,none
other neuromuscular dysfunction of bladder,none,none,none,2,False,none,none
other specified diabetes mellitus with other specified complications,none,none,none,2,False,none,none
other specified endocrine disorders,none,none,none,2,False,none,none
other specified congenital malformations,none,none,none,2,False,none,none
localized connective tissue disorder unspecified,none,none,none,2,False,none,none
leptospirosis icterohaemorrhagica,none,none,none,2,False,none,none
malignant neoplasm oropharynx unspecified,oral cavity cancer,oral cavity cancer,oral cavity cancer,2,False,oral cavity cancer,none
subdural haemorrhage acutenontraumatic,none,none,none,2,False,none,cerebrovascular disease
pedestrian injured in collision with car pick-up truck or van unspecified whether traffic or nontraffic accident,none,none,none,2,False,none,none
other infection of genital tract following delivery,none,none,none,2,False,none,none
human metapneumovirus pneumonia,none,none,none,2,False,none,none
portal hypertension,none,none,none,2,False,none,none
adenoviral enteritis,none,none,none,2,False,none,none
other manifestations of thiamine deficiency,none,none,none,2,False,none,none
haemoptysis,none,none,none,2,False,none,none
benign neoplasm skin unspecified,none,none,none,2,False,none,none
malignant neoplasm nasal cavity,none,none,none,2,False,none,none
pedestrian injured in collision with two- or three-wheeled motor vehicle traffic accident,none,none,none,2,False,none,none
menopausal and female climacteric states,none,none,none,2,False,none,none
personality disorder unspecified,none,none,none,2,False,none,none
occupant [any] of three-wheeled motor vehicle injured in unspecified traffic accident,none,none,none,2,False,none,none
nquest adjourned,none,none,none,2,False,none,none
rheumatic aortic stenosis,none,none,none,2,False,none,none
myoneural disorder unspecified,none,none,none,2,False,none,none
acute transmural myocardial infarction of other sites,ischaemic heart disease,ischaemic heart disease,ischaemic heart disease,2,False,ischaemic heart disease,ischaemic heart disease
congenital syphilis unspecified,none,none,none,2,False,none,none
other tricuspid valve diseases,none,none,none,2,False,none,none
hypertensive heart disease without congestive heart failure,none,ischaemic heart disease,ischaemic heart disease,1,True,,none
bradycardia unspecified,none,none,none,2,False,none,none
alzheimer disease unspecified,none,none,none,2,False,none,none
malformation of coronary vessels,none,none,none,2,False,none,none
other reconstructive surgery,none,none,none,2,False,none,none
fistula of joint,none,none,none,2,False,none,none
conduction disorder unspecified,none,none,none,2,False,none,none
other non-follicular lymphoma,none,none,none,2,False,none,none
other specified disorders of peritoneum,none,none,none,2,False,none,none
anticoagulant antagonists vitamin k and other coagulants,none,none,none,2,False,none,none
chronic nephritic syndrome unspecified,none,none,none,2,False,none,none
balkan nephropathy,none,none,none,2,False,none,none
other paralytic strabismus,none,none,none,2,False,none,none
other specified acute viral hepatitis,none,none,none,2,False,none,none
other encephalitis myelitis and encephalomyelitis,none,none,none,2,False,none,none
drug-induced polyneuropathy,none,none,none,2,False,none,none
arteriovenous fistula acquired,none,none,none,2,False,none,none
other specified degenerative diseases of nervous system,none,none,none,2,False,none,none
lesch-nyhan syndrome,none,none,none,2,False,none,none
herpesviral infection unspecified,none,none,none,2,False,none,none
mental and behavioural disorders due to use of cannabinoids dependence syndrome,none,none,none,2,False,none,none
obstructive hydrocephalus,none,none,none,2,False,none,none
disorders of both mitral and aortic valves,none,none,none,2,False,none,none
other systemic antibiotics,none,none,none,2,False,none,none
cystic fibrosis with pulmonary manifestations,none,none,none,2,False,none,none
multiple valve disease unspecified,none,none,none,2,False,none,none
urinary catheterization,none,none,none,2,False,none,none
malformations of aqueduct of sylvius,none,none,none,2,False,none,none
skeletal muscle relaxants [neuromuscular blocking agents],none,none,none,2,False,none,none
secondary systemic amyloidosis,none,none,none,2,False,none,none
hereditary elliptocytosis,none,none,none,2,False,none,none
disorder of peritoneum unspecified,none,none,none,2,False,none,none
congenital cytomegalovirus infection,none,none,none,2,False,none,none
congenital malformation of respiratory system unspecified,none,none,none,2,False,none,none
leptospirosis unspecified,none,none,none,2,False,none,none
fetal alcohol syndrome dysmorphic,none,none,none,2,False,none,none
congenital malformation of skull and face bones unspecified,none,none,none,2,False,none,none
congenital heart block,none,none,none,2,False,none,none
myeloid leukaemia unspecified,none,none,none,2,False,none,acute myeloid leukemia
drug-induced hypoglycaemia without coma,none,none,none,2,False,none,none
contracture of joint,none,none,none,2,False,none,none
cardiac arrest unspecified,none,none,none,2,False,none,none
somatoform disorder unspecified,none,none,none,2,False,none,none
pathological dislocation and subluxation of joint not elsewhere classified,none,none,none,2,False,none,none
unspecified viral hepatitis with hepatic coma,none,none,none,2,False,none,none
bilateral inguinal hernia with gangrene,none,none,none,2,False,none,none
other specified congenital malformations of kidney,none,none,none,2,False,none,none
erythema multiforme unspecified,none,none,none,2,False,none,none
pedestrian injured in collision with car pick-up truck or van nontraffic accident,none,none,none,2,False,none,none
accident to watercraft causing drowning and submersion canoe or kayak,none,none,none,2,False,none,none
adult osteomalacia unspecified,none,none,none,2,False,none,none
otorhinolaryngological drugs and preparations,none,none,none,2,False,none,none
congenital malformations of lips not elsewhere classified,none,none,none,2,False,none,none
car occupant [any] injured in unspecified nontraffic accident,none,none,none,2,False,none,none
acute cystitis,none,none,none,2,False,none,none
congenital pulmonary valve insufficiency,none,none,none,2,False,none,none
malignant neoplasm of other and ill-defined sites head face and neck,none,oral cavity cancer,oral cavity cancer,1,True,,none
listerial meningitis and meningoencephalitis,none,none,none,2,False,none,none
thyroid crisis or storm,none,none,none,2,False,none,none
idiopathic aseptic necrosis of bone,none,none,none,2,False,none,none
other cholecystitis,none,none,none,2,False,none,none
malignant neoplasm gum unspecified,none,oral cavity cancer,oral cavity cancer,1,True,,oral cavity cancer
acute and transient psychotic disorder unspecified,none,none,none,2,False,none,none
subarachnoid haemorrhage from carotid siphon and bifurcation,none,cerebrovascular disease,cerebrovascular disease,1,True,,cerebrovascular disease
haemorrhage in early pregnancy unspecified,none,none,none,2,False,none,none
other antineoplastic drugs,none,none,none,2,False,none,none
abscess of liver,none,none,none,2,False,none,none
dysplasia of prostate,prostate cancer,prostate cancer,prostate cancer,2,False,prostate cancer,none
occupant [any] of heavy transport vehicle injured in other specified transport accidents,none,none,none,2,False,none,none
disorder of trigeminal nerve unspecified,none,none,none,2,False,none,none
essential tremor,none,none,none,2,False,none,none
alzheimer disease with late onset,none,none,none,2,False,none,none
fetus and newborn affected by placental transfusion syndromes,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour aortic body and other paraganglia,none,none,none,2,False,none,none
other abnormal findings on diagnostic imaging of central nervous system,none,none,none,2,False,none,none
chronic ischaemic heart disease unspecified,ischaemic heart disease,ischaemic heart disease,ischaemic heart disease,2,False,ischaemic heart disease,ischaemic heart disease
prostatocystitis,none,none,none,2,False,none,none
acute and fulminating melioidosis,none,none,none,2,False,none,none
other pulmonary valve disorders,none,none,none,2,False,none,none
aortic valve stenosis,none,none,none,2,False,none,none
hydroureter,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour pituitary gland,none,none,none,2,False,none,none
unspecified osteoporosis with pathological fracture,none,none,none,2,False,none,none
epilepsy unspecified,none,none,none,2,False,none,none
malignant neoplasm overlapping lesion of skin,none,none,none,2,False,none,none
typhoid fever,none,none,none,2,False,none,none
cellulitis unspecified,none,none,none,2,False,none,none
complication of labour and delivery unspecified,none,none,none,2,False,none,none
congenital pneumonia due to viral agent,none,none,none,2,False,none,none
non-insulin-dependent diabetes mellitus without complications,none,none,none,2,False,none,none
left sided colitis,none,none,none,2,False,none,none
multiple system atrophy cerebellar type [msa-c] 2016 onwards,none,none,none,2,False,none,none
hiv disease resulting in multiple infections,none,none,none,2,False,none,none
congenital cerebral cysts,none,none,none,2,False,none,none
malignant neoplasm olfactory nerve,none,none,none,2,False,none,none
circumscribed brain atrophy,none,none,none,2,False,none,none
chronic mastoiditis,none,none,none,2,False,none,none
chronic pansinusitis,none,none,none,2,False,none,none
other delirium,none,none,none,2,False,none,none
farmer lung,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour other digestive organs,none,none,none,2,False,none,none
idiopathic progressive neuropathy,none,none,none,2,False,none,none
other specified renal tubulo-interstitial diseases,none,none,none,2,False,none,none
disorders of tyrosine metabolism,none,none,none,2,False,none,none
